artist,genre
rascal-flatts,country
brad-paisley,country
toby-keith,country
garth-brooks,country
montgomery-gentry,country
trace-adkins,country
gary-allan,country
lady-antebellum,country
james-otto,country
josh-turner,country
reba-mcentire,country
brooks-and-dunn,country
rodney-atkins,country
craig-morgan,country
chuck-wicks,country
